# hostname,interval,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle
raspberrypi,1,2020-07-25 01:25:20 UTC,-1,2.77,0.00,8.56,0.00,0.00,0.00,1.76,0.00,0.00,86.90
raspberrypi,1,2020-07-25 01:25:21 UTC,-1,1.79,0.00,3.07,0.00,0.00,0.00,0.77,0.00,0.00,94.37
raspberrypi,1,2020-07-25 01:25:22 UTC,-1,1.00,0.00,4.01,0.00,0.00,0.00,1.25,0.00,0.00,93.73
raspberrypi,1,2020-07-25 01:25:23 UTC,-1,0.79,0.00,3.66,0.00,0.00,0.00,0.52,0.00,0.00,95.03
raspberrypi,1,2020-07-25 01:25:24 UTC,-1,3.51,0.00,1.50,0.00,0.00,0.00,0.50,0.00,0.00,94.49
raspberrypi,1,2020-07-25 01:25:25 UTC,-1,1.29,0.00,2.33,0.00,0.00,0.00,0.26,0.00,0.00,96.12
raspberrypi,1,2020-07-25 01:25:26 UTC,-1,1.06,0.00,4.26,0.00,0.00,0.00,0.00,0.00,0.00,94.68
raspberrypi,1,2020-07-25 01:25:27 UTC,-1,0.77,0.00,3.33,0.00,0.00,0.00,0.51,0.00,0.00,95.38
raspberrypi,1,2020-07-25 01:25:28 UTC,-1,1.30,0.00,3.39,0.00,0.00,0.00,0.52,0.00,0.00,94.79
raspberrypi,1,2020-07-25 01:25:29 UTC,-1,1.01,0.00,7.34,0.00,0.00,0.00,0.25,0.00,0.00,91.39
raspberrypi,1,2020-07-25 01:25:30 UTC,-1,2.11,0.00,3.43,0.00,0.00,0.00,0.26,0.00,0.00,94.20
raspberrypi,1,2020-07-25 01:25:31 UTC,-1,1.30,0.00,2.33,0.26,0.00,0.00,0.00,0.00,0.00,96.11
raspberrypi,1,2020-07-25 01:25:32 UTC,-1,1.31,0.00,2.62,0.00,0.00,0.00,0.26,0.00,0.00,95.80
raspberrypi,1,2020-07-25 01:25:33 UTC,-1,1.06,0.00,2.39,0.00,0.00,0.00,0.80,0.00,0.00,95.74
raspberrypi,1,2020-07-25 01:25:34 UTC,-1,1.32,0.00,3.68,0.00,0.00,0.00,0.53,0.00,0.00,94.47
